,title,review,date,month,year,rating
0,"""never fly with them again""","i recently travelled from munich to london with british airways, and it turned into an absolute nightmare. our troubles began with their malfunctioning app. despite checking in successfully, i was unable to retrieve our boarding passes. upon arrival at the airport, we discovered that there were no self-service kiosks, and the check-in desks were completely unattended. after seeking help from the information desk, we were directed to a staff member who clearly did not want to assist us. her dismissive attitude was infuriating, and despite showing her the app indicating we were checked in, she simply told us to call customer service and walked away without providing any assistance. after being put on hold for 25 minutes and being sent to several different staff members who couldn’t help us, we finally reached someone on the phone who was kind but ultimately powerless to resolve our issue. by this point, our flight was delayed, and we had wasted two hours just trying to print our boarding passes. when i followed up with a complaint, british airways basically dismissed my concerns and told me to use the app next time—ignoring the fact that it was the app's failure that caused all these problems in the first place! this experience cost us a staggering £682.43 in additional expenses, including new flights, hotel stays, taxi fares, and fines. missing work and explaining this absurd situation to my employer was incredibly embarrassing. british airways clearly needs to improve its customer service and technology. if their app and website are going to fail, they must provide adequate support at the airport. i will never fly with them again, and i urge others to consider alternative airlines.",2024-11-03,November,2024,1.0
1,"""still have not heard any updates""","i paid for seats 80 a and b on my flight from heathrow to boston on the a380, paying for premium economy seats. upon arrival at the airport the ticket agent said i was not healthy enough to sit in the purchased seats due to being too old i presume (65) since there is no other reason i can find i could not sit in the exit seating. i am healthy enough to walk 10-12 miles a day and have adequate upper body strength. attempting to convince her just got us stuck in a cattle call seat, at the rear of the aircraft, second floor and in the middle two seats of the row. we were told our money would be refunded immediately for the ""inconvenience"". after several weeks i recontacted ba and they said the complaint went to the wrong section and they were forwarding it to the next section. 6 weeks later and we still have not heard any updates except for a computer response stating most refunds were returned in 3 weeks, keep waiting. the plane then had ground difficulties and needed a quick repair. they completed that 30 minutes later and boarded the flight. the captain then came on and said it looks like they forgot to order the ground crew to back us out of the terminal and we needed to wait another 30 minutes. we were not able to make up for the lost time in the air. we landed 1.5 hours later than scheduled, wreaking havoc with our next flight.",2024-11-03,November,2024,3.0
2,"""cabin crew were nice""","the flight wasn’t that bad, although the inflight entertainment wasn’t great, the screen was very old-fashioned. it was hard to operate in the dark as the touch screen wasn’t working at times. there was though a remote. the cabin crew slamming air larders (ovens and draws). apart from that, the cabin crew were nice, the food was good and the seat was comfortable.",2024-11-03,November,2024,7.0
3,"""support staff wash their hands of you""","i decided to treat myself and my teenage daughter to world traveller plus on the return leg of our canada holiday, paying hundreds of pounds extra to do so... only to end up spending nine and a half hours trapped in a broken seat staring at a blank screen after both our entertainment systems failed to work. i hadn't bought a book or uploaded a film because i had assumed i would be enjoying the entertainment ba had promised. so i decided to lie back and get some rest instead, only to discover that the leg rest on my seat didn't work. the flight attendant was able to prop it up manually by shoving things underneath, but unfortunately this only made matters worse because it became firmly stuck in the up position, forcing my body into an awkward position during the descent, when i had to keep my seatback upright, leaving me with back pain that lasted three days (i have a bad lower back). early on in this experience i asked to be moved to economy so that i could sit normally and watch a film, but the flight was full and there was no space. the apologetic flight attendant assured me i would receive compensation, which i assumed meant the airline would, at the very least, upgrade us the next time we flew ba, since we had been unable to enjoy any of the advertised benefits of world traveller plus (the two of us only had one suitcase each, so hadn't made use of the extra baggage allowance). ba's actual compensation offer: £25 worth of avios points each. i wrote back (since ba doesn't allow you to have any direct telephone contact with their complaints department) explaining firmly but politely that this was not fair or acceptable, given the hundreds of extra pounds i'd paid for added extras the airline had failed to deliver. they then ghosted me. my experience is a cautionary tale about british airways customer support. if all goes to plan, you may well have a very pleasant world traveller plus experience. but if anything should go wrong, support staff will wash their hands of you and your money will have been wasted. so unless you're prepared to gamble, i would advise you to either stick with economy/world traveller (since then you're only really paying to fly from a to b, which they do manage to do) or fly with another airline. or you could end up like me: throwing away extra money on an experience that fell far below the standard of economy class. if your flight is to canada, i would recommend an airline such as air canada, which i turned to during the uncertainty of the covid pandemic because of their exceptional customer service and fast, no-nonsense refunds. they do cost a bit more, so when life returned to normal post-covid, i started flying ba again, believing such high standards of customer service were no longer important. i now see that this was both a mistake and a false economy - one that has ended up costing me hundreds of wasted pounds.",2024-11-02,November,2024,1.0
4,"""no fuss, no bother experience""","i was very impressed with their efficient boarding, the relatively (compared to air canada) comfortable seats and the quality of the food. drinks and snacks frequently offered. overall a no fuss, no bother experience.",2024-11-02,November,2024,9.0
5,"""Who can trust BA to travel2","the flight scheduled at 1840 left 2hours 40 minutes alter due to late arrival of incoming aircraft from naples, as a result i missed a connection from istanbul to dubai, nothing unusual. the issue acknowledged by the captain is that the plane had been late since the morning flight from rome with rolling effect until the evening. as this was the case, whey did ba not contact me and all other passengers, i could have made other arrangements and fly early to istanbul and not miss my connection resulting in a £300 charge and a long delay. ba has certainly lots of staff who could have informed by using the email or text. obviously passengers are of no utility to ba once the ticket is purchased. who can trust ba to travel? not me now after such poor handling of a simple matter.",2024-10-31,October,2024,1.0
6,"""just another poor airline""","i have been flying ba for over 15 years. i was an american airlines ff and gave it up for ba. i am a gold member on ba and have been for over 10 years. here are the things i have noticed over the last 5 years on ba. the flight attendants are getting lazier and complacent, from cleaning bathrooms to serving meals. the food on ba has deteriorated to the point of not being able to eat the garbage they give you and having gold status is almost meaningless in the big scheme of things. i have never been able to upgrade to business or first using the avios points i have accumulated on a transcon flight. i fly ba now because its the only partner of american airllines that i can easily get to europe. i have switched back to aa ff program and is already so much better. ba used to be a splendid airline and now its just another poor airline in the european market!",2024-10-31,October,2024,5.0
7,"""spent two hours trying to make contact with BA""","on arriving at mexico airport we were told that the flight was delayed because the aircraft had broken down and the replacement aircraft from lhr was about six hours late. when we eventually managed to check in we told that – contrary to the ba website – we could not have access to the 24-hour grand lounge elite and instead would use the american airlines admirals club lounge which would close three hours before the flight left. after that we would have to use a restaurant and were given a food voucher. two hours before the flight was due to leave were then informed that the aircraft had diverted to cancun because of a “volcanic ash cloud over mexico city” – although it did not appear to be affecting other flights into the airport including those from europe. they eventually arranged taxis to take us to a hotel and we arrived at 1.30am. we were assured that we would all be on a ba flight leaving the same time the following day. the only contact after that was a local employee who stayed at the hotel. he said that he was there to organise transport and refused to give us any other contact details. (when we eventually did need transport the following day he had disappeared.) during the night, we were then sent an email telling us that we were booked onto an air canada flight leaving at 6.30am. this would have been impossible with such short notice and without canadian epa authorisation. we then spent two hours trying to make contact with ba – its mexico number did not work and eventually we were put on an aeromexico flight in economy. they told us to check in as soon as we could but this meant we had to pay an extra £200 for the seats. later, after a very long call, we were told that we could be upgraded to business with aeromexico despite having been told earlier that there was no availability. ba then informed us that because we had already checked in – as they had suggested – we could not be moved and this took three more calls to aeromexico to sort out. i totally understand that aircraft break down but the onus should be on the airline to rearrange and not the passengers. we were lucky because we took the trouble of making the calls to the uk but others – such as a disabled lady – had been told nothing when we left.",2024-10-25,October,2024,1.0
8,"""using another airline for future travel""","i have flown british airways for many years and still do so regularly. in one of my last flights this past summer between paris and boston, british booked me on a connecting flight between paris and london that gave me a maximum of 90 minutes to connect in london. london heathrow is a massive airport where going from terminal to terminal could take 20-30 minutes once you deplane, not including the actual time to deplane if you are seated in the back and lines at passport control and security between terminals. so already, one is pressed for time. my flight from paris to london that day was tardy, 49 minutes tardy that day to be exact. ba flight 323 in fact, is routinely tardy. – don’t bother with this one. flight connections assisted me by calling the new gate to let them know my previous flight had been delayed and that i was rushing to the gate. it was 30 minutes before my connecting flight was to depart. i ran like a fool for 25 minutes, carryons and all, arriving to the gate 5 minutes before my flight was to depart, only to be greeted by no plane. the agent said that since no one knew where i was (false) the plane left without me – early. gaining a few minutes was more important than an passenger inconvenienced by their own delay. so i made the 20 minute trek back to flight connections knowing that they would have to rebook me the following day. i was now going to miss the wedding i was destined to attend in boston. they sent me to a prepaid hilton hotel room for the night but told me that i would have to pay 30 pounds each way for a taxi to take me there. they gave me a pamphlet with instructions for reimbursement. this was in early july. it took me 4 months and a complaint to the british centre for effective dispute resolution to be reimbursed for the equivalent of $77. there was no apology, no recognition, not even a free drink coupon for that next flight i won’t ever take with british. like a bad insurance claim, british just kept denying my claim, expecting that i would just go away. well, i am going away. i’m taking my $77 and using another airline for future travel.",2024-10-24,October,2024,1.0
9,"""oversold tickets on our flight""","we bought tickets for a geneva-london flight, but when we got to the airport we were told that the airline had oversold tickets on our flight and that passengers on an earlier cancelled flight had been given seats on our flight. explanation: ""it is allowed.""",2024-10-22,October,2024,1.0
